society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
whiteland  the aspen,3.5,sector 76,11917.0,3.0,4.0,3,8.0,Under Construction,flat,2937.0,0,0,0,0,0,0,0,"28.3935° N, 76.9888° E",28.3935,76.9888
vipul world floors,4.3,sector 48,13871.0,4.0,5.0,3+,4.0,New Property,flat,3444.0,0,0,0,0,0,0,88,"28.4177° N, 77.0359° E",28.4177,77.0359
emaar gurgaon greens,1.6,sector 102,9697.0,3.0,3.0,3,8.0,Relatively New,flat,1315.0,0,0,0,0,0,0,46,"28.4750° N, 76.9715° E",28.475,76.9715
emaar mgf the palm drive,3.2,sector 66,17778.0,3.0,3.0,3,12.0,Relatively New,flat,1800.0,0,0,0,0,0,1,117,"28.3925° N, 77.0541° E",28.3925,77.0541
pyramid urban,0.6,sector 67a,8571.0,2.0,2.0,2,14.0,New Property,flat,633.0,0,0,0,0,0,0,15,"28.3960° N, 77.0372° E",28.396,77.0372
emaar mgf emerald floors premier,2.35,sector 65,14242.0,3.0,3.0,3,2.0,Relatively New,flat,1493.0,0,0,0,0,0,1,168,"28.4030° N, 77.0690° E",28.403,77.069
on request,1.69,sector 103,9145.0,3.0,3.0,3+,8.0,Relatively New,flat,1670.0,0,0,0,0,0,0,49,"28.4949° N, 76.9845° E",28.4949,76.9845
godrej,2.5,sector 79,11141.0,3.0,3.0,3+,5.0,Relatively New,flat,2244.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
tulip violet,1.36,sector 69,8619.0,3.0,3.0,2,12.0,Relatively New,flat,1428.0,0,0,0,0,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,0.66,sector 7,12000.0,3.0,1.0,1,3.0,Relatively New,house,550.0,0,0,0,0,1,0,22,"28.4644° N, 77.0143° E",28.4644,77.0143
